Organization,Job/Internship Title,Role Category,Link to Apply or Handshake Job ID,Full-Time ,Internship,Application Deadline if Listed,Date Added to S/S
BDO (Dallas),"Assurance Intern, Technology Risk Assurance",Security/Risk,https://ebqb.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/BDOEntryLevelCareers/job/13197,,X,,8/12/26
NYC Department of Finance,Data Analytics Grad Intern,Data,https://jobs.smartrecruiters.com/CityOfNewYork/3743990014532131-data-analytics-grad-intern,,X,,8/12/26
ByteDance,Data Lake Infrastructure & Data Analytics Research Engineer Intern,Data,https://joinbytedance.com/search/7671109787509213445,,X,,8/12/26
LPL Financial,Business Analyst and Project Management Intern,BI/Analytics,https://lplfinancial.wd1.myworkdayjobs.com/en-US/University/job/Fort-MillCharlotte/Summer-Intern-2027--Business-Analyst-and-Project-Management_R-052922,,X,9/21/26,8/12/26
Feed Energy,AI & Data Intern,Data,https://recruiting.paylocity.com/Recruiting/Jobs/Details/4407501,,X,,8/13/26
TikTok,Search Security Strategy Operations Intern,Security,https://lifeattiktok.com/search/7670729943510829317,,X,,8/13/26
Deloitte,Google AI Architect,AI,https://apply.deloitte.com/en_US/careers/InviteToApply?jobId=362202&,X,,,8/13/26
AIR,"AI Engineer, Internal Enablement & Productivity",AI,https://job-boards.greenhouse.io/air/jobs/4163985009?gh_src=03yn673x9us,X,,,8/13/26
NVIDIA,Applied AI Engineer,AI,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Remote/Applied-AI-Engineer_JR2018181-1?source=jobboardlinkedin,X,,,8/13/26
Confluence,AI Solutions Architect,AI,https://confluence.pinpointhq.com/en/postings/d3a9f9ef-08c0-465d-88dd-342362b0df1f,X,,,8/13/26
Crowe,AI-Enabled Senior Consultant – Technology Advisory,Consulting,https://careers.crowe.com/job/CROCROUSR51759EXTERNALENUS/AI-Enabled-Senior-Consultant-Technology-Advisory?utm_source=linkedin&utm_medium=phenom-feeds,X,,,8/13/26
pwc,NGA AI Engineer Manager,Consulting,https://jobs-us.pwc.com/us/en/job/PUVPUIUS712328WDEXTERNALENUS/NGA-AI-Engineer-Manager?utm_source=linkedin&utm_medium=phenom-feeds&utm_campaign=core_media&utm_medium=social_media&utm_content=job_posting&ss=paid&gad_source=7&dclid=CJyWm5P0nZYDFdDazgAddgooaA,X,,,8/13/26
Deloitte,Technology Strategy Senior Consultant,Consulting,https://apply.deloitte.com/en_US/careers/InviteToApply?jobId=354352&,X,,,8/13/26
UpGuard,Senior Implementation Consultant,Consulting,https://jobs.ashbyhq.com/upguard/189dda31-db45-442d-82f0-392e67260fa9?utm_source=LinkedInApplied,X,,,8/13/26
LuluLemon,AI/ML Engineer,Machine Learning,https://careers.lululemon.com/en_US/careers/JobDetail/AI-ML-Engineer/62447?source=LinkedIn&src=LinkedIn,X,,,8/13/26
Adobe,Machine Learning Engineer,Machine Learning,https://careers.adobe.com/us/en/job/ADOBUSR167407EXTERNALENUS/Machine-Learning-Engineer?utm_source=linkedin&utm_medium=phenom-feeds&source=LinkedIn,X,,,8/13/26
pwc,US Tech - AI Engineering Senior Associate,AI,https://jobs-us.pwc.com/us/en/job/PUVPUIUS698808WDEXTERNALENUS/US-Tech-AI-Engineering-Senior-Associate?utm_source=linkedin&utm_medium=phenom-feeds&utm_campaign=core_media&utm_medium=social_media&utm_content=job_posting&ss=paid&gad_source=7&dclid=CMzbuKj4nZYDFZcAaAgdihUsgQ,X,,,8/13/26
State of California,Software Developer,Software,https://calcareers.ca.gov/CalHrPublic/Jobs/JobPosting.aspx?JobControlId=526434,X,,,8/13/26
Naval Nuclear Laboratory,Software Developer (Cloud Engineer),Software,https://career-hcm03.ns2cloud.com/sfcareer/jobreqcareer?jobId=8425&company=NNLHCM03,X,,,8/13/26
Dick's Sporting Goods Inc.,Product Manager II - Digital Fraud,Product,https://www.dickssportinggoods.jobs/job/product-manager-ii-digital-fraud/remote/202608445/,X,,,8/13/26
Roblox,"Software Engineer, User Frameworks",Software,https://careers.roblox.com/jobs/8080438?gh_jid=8080438,X,,,8/13/26
Roblox,Software Engineer Intern (Summer 2027),Software,https://careers.roblox.com/jobs/8072713?gh_jid=8072713,,X,,8/13/26
Quad,Software Development Intern,Software,https://ebud.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/41045/?utm_medium=jobshare&utm_source=External+Job+Share,,X,,8/13/26
Autodesk,Product Manager  ,Product,https://autodesk.wd1.myworkdayjobs.com/Ext/job/San-Francisco-CA-USA/Product-Manager_26WD100504,X,,,8/13/26
American Financial Group,Technical Product Manager - API,Product,https://gaig.wd1.myworkdayjobs.com/GAIG_External/job/Cincinnati-OH-USA/Technical-Product-Manager---API_R9366,X,,,8/13/26
Clearview Federal Credit Union,Technical Product Manager I ,Product,https://www.indeed.com/viewjob?jk=2714f2040705c468,X,,,8/13/26
TikTok,Software Engineer Graduate - 2027 Start,Software,https://lifeattiktok.com/search/7673284715407886597?spread=5MWH5CQ,X,,,8/13/26
TikTok,Product Operations Intern - 2027 Summer,Product,https://lifeattiktok.com/search/7669705525866383621?utm_source=Simplify,,X,,8/13/26
